MP Name,Constituency,State,House,Allocated Amount (₹),Total Expenditure (₹),Utilization %,Completed Works,Recommended Works,Completion Rate %,Unspent Amount (₹),Transaction Count,Successful Payments,Pending Payments,Average Rating
Dr. Faiyaz Ahmad (2022-28),Sitting Rajya Sabha,Bihar,Rajya Sabha,235263957.11,181186677.0,77.01,130,59,68.78,54077280.110000014,172,165,7,
Smt. Ranjeet Ranjan (2022-28),Sitting Rajya Sabha,Chhattisgarh,Rajya Sabha,246780257.87,185739464.0,75.27,157,124,55.87,61040793.870000005,452,430,22,
Dr. Bhim Singh (2024-30),Sitting Rajya Sabha,Bihar,Rajya Sabha,186200000.0,139819329.0,75.09,233,82,73.97,46380671.0,281,280,1,
Shri S. Kalyanasundaram (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,239763792.52,178930791.0,74.63,141,44,76.22,60833001.52000001,180,179,1,
Shri Shambhu Sharan Patel (2022-28),Sitting Rajya Sabha,Bihar,Rajya Sabha,237168443.49,175484824.0,73.99,199,108,64.82,61683619.49000001,221,216,5,
Dr. Dharmshila Gupta (2024-30),Sitting Rajya Sabha,Bihar,Rajya Sabha,186200000.0,136714265.0,73.42,87,55,61.27,49485735.0,113,109,4,
RAM PRASAD CHAUDHARY,BASTI,Uttar Pradesh,Lok Sabha,204176957.11,148429426.0,72.7,37,146,20.22,55747531.110000014,239,238,1,1.0
ANDREW J. SYNGKON,SHILLONG,Meghalaya,Lok Sabha,98000000.0,70355000.0,71.79,96,146,39.67,27645000.0,320,318,2,
DR. RAJESH MISHRA,SIDHI,Madhya Pradesh,Lok Sabha,262724510.35,184783789.0,70.33,172,169,50.44,77940721.35,654,633,21,
Smt. Mahua Maji (2022-28),Sitting Rajya Sabha,Jharkhand,Rajya Sabha,232524001.2,163193927.0,70.18,150,315,32.26,69330074.19999999,598,598,0,
Shri R. Girirajan (2022-28),Sitting Rajya Sabha,Tamil Nadu,Rajya Sabha,236312242.52,165628943.0,70.09,150,71,67.87,70683299.52000001,190,187,3,
Shri Aditya Prasad (2022-28),Sitting Rajya Sabha,Jharkhand,Rajya Sabha,227628508.2,159474868.0,70.06,141,85,62.39,68153640.19999999,383,382,1,
Smt. Sadhna Singh (2024-30),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,147000000.0,101298179.0,68.91,5,13,27.78,45701821.0,37,33,4,
Pradyut Bordoloi,NOWGONG,Assam,Lok Sabha,98000000.0,67125657.0,68.5,13,202,6.05,30874343.0,471,459,12,
Shri Gulam Ali (2022-28),Nominated Rajya Sabha,Jammu And Kashmir,Rajya Sabha,196063957.11,134033715.0,68.36,156,29,84.32,62030242.110000014,192,190,2,
Shri Arun Singh (2020-26),Sitting Rajya Sabha,Uttar Pradesh,Rajya Sabha,223492764.11,151462382.0,67.77,46,65,41.44,72030382.11000001,197,190,7,
Dr. Sandeep Kumar Pathak (2022-28),Sitting Rajya Sabha,Punjab,Rajya Sabha,232203454.24,157067749.0,67.64,157,121,56.47,75135705.24000001,1090,1082,8,
Shri Satish Chandra Dubey (2022-28),Sitting Rajya Sabha,Bihar,Rajya Sabha,235263957.11,158349542.0,67.31,162,87,65.06,76914415.11000001,205,204,1,
Shri Sant Balbir Singh (2022-28),Sitting Rajya Sabha,Punjab,Rajya Sabha,196359074.44000003,131995905.41,67.22,206,166,55.38,64363169.03000003,757,755,2,
Shri Tapir Gao,ARUNACHAL EAST,Arunachal Pradesh,Lok Sabha,147000000.0,98534470.0,67.03,106,58,64.63,48465530.0,199,195,4,
SUDHAKAR SINGH,BUXAR,Bihar,Lok Sabha,185211956.54,123581875.0,66.72,98,106,48.04,61630081.53999999,176,175,1,
